Id,class,x1,y1,x2,y2
94,3,-1583.3956,-1500.5287,-1691.6263,-1374.0942
95,0,49.83025,60.28581,73.75867,77.53578
96,3,-26.595314,-15.7467575,-15.064327,-2.1481276
97,0,81.18,89.72968,108.21791,108.31367
98,0,81.01676,89.55727,108.03114,108.12572
99,3,-195.51343,-179.28719,-200.06088,-152.74051
100,3,-68.95275,-57.212902,-61.597725,-39.135788
101,3,-15.994202,-4.98617,-2.7539632,7.8961916
102,0,28.848497,36.217808,42.90753,41.41488
103,0,71.93798,80.09677,96.57164,96.261665
104,0,43.664135,51.34698,61.37213,60.3261
105,3,-89.86485,-75.24446,-81.76625,-54.42539
106,3,21.547222,33.942356,44.190376,55.41058
107,3,-19.334713,-7.6716022,-4.302467,11.520261
108,0,81.063576,89.589455,108.05563,108.136406
109,3,-384.50998,-362.32587,-409.7994,-332.1634
110,0,83.84586,92.81484,112.06825,112.32679
111,0,40.81619,48.234146,57.651855,56.376755
112,0,82.539665,91.14968,109.93146,110.08264
113,0,81.07359,89.61465,108.07326,108.17343
114,3,-797.4349,-760.08984,-861.19794,-704.89575
115,0,45.429844,57.788177,72.127884,80.48835
116,0,81.87839,90.44354,109.14679,109.20768
117,3,-2115.865,-2029.4039,-2298.6145,-1897.6198
118,3,-746.5128,-711.2533,-804.2482,-656.6442
119,0,75.040535,83.36526,100.54782,100.35044
120,3,-66.24812,-50.09105,-51.81095,-24.814245
121,0,16.310755,24.915163,31.253033,35.58614
122,0,63.612988,71.5629,86.15747,85.56698
123,0,15.648159,23.054535,26.734604,25.026867
124,0,63.392372,72.41352,87.31394,87.45135
125,0,11.99325,21.424427,27.98791,35.115257
126,0,82.85021,91.53126,110.39053,110.56475
127,3,-676.62885,-645.88306,-731.5301,-598.84076
128,3,-1374.9972,-1320.453,-1498.2269,-1238.7494
129,0,57.275837,65.022865,78.20562,77.3886
130,0,34.398438,46.18321,58.08614,66.567894
131,3,-442.9009,-420.60828,-476.53113,-389.45947
132,0,14.527152,23.704144,30.038416,35.249638
133,0,49.761982,57.39169,68.83598,67.83327
134,0,78.622444,87.08031,105.071465,105.01243
135,0,44.275,54.508766,66.54518,70.108154
136,3,-264.26236,-246.3158,-276.73865,-218.27306
137,3,-408.33084,-387.005,-436.92154,-352.6514
138,0,82.17574,90.81295,109.52746,109.658775
139,3,-4893.173,-4694.518,-5311.4404,-4383.5835
140,3,-1067.962,-1018.6594,-1153.3977,-945.12256
141,3,-404.7041,-377.23297,-423.8333,-335.04865
142,3,12.573536,22.36501,27.917625,32.575356
143,3,-57.57701,-43.47001,-44.94859,-21.423666
144,3,-414.62314,-395.00577,-447.2923,-363.741
145,3,-648.2184,-623.16736,-708.68726,-587.39667
146,3,-140.23598,-118.72534,-129.28021,-86.162415
147,3,-512.5187,-465.90503,-519.4979,-397.50412
148,0,83.154396,91.86959,110.80261,110.98272
149,3,-207.43404,-190.94707,-210.25362,-161.58278
150,0,50.41685,60.28114,74.18788,79.25873
151,0,63.698505,71.741066,86.33172,85.806046
152,0,50.915165,58.723263,70.44364,69.57286
153,0,28.79828,38.963066,49.179153,56.131454
154,3,-176.37747,-158.80309,-175.93318,-130.29926
155,0,50.585384,58.512478,70.203674,69.354515
156,3,-867.228,-810.761,-912.09296,-727.66986
157,0,64.330284,72.34409,87.075676,86.5494
158,0,83.37849,92.108055,111.08884,111.28175
159,0,82.607765,91.29214,110.12482,110.26532
160,0,31.563719,39.170544,46.5312,45.16997
161,0,48.166687,55.762867,66.83885,65.79178
162,3,-1912.6575,-1842.786,-2089.7158,-1732.6996
163,3,-387.43784,-354.58032,-395.9447,-304.90613
164,0,73.51587,81.78452,98.60803,98.365654
165,0,83.10251,91.80317,110.720505,110.90656
166,0,55.49122,63.629955,76.306015,75.70993
167,3,-68.79222,-52.732708,-53.91371,-25.85245
168,0,53.877026,65.35263,80.241974,86.257835
169,3,-46.872425,-31.35747,-30.561794,-7.066287
170,3,0.8979987,12.876747,18.015827,27.611229
171,0,18.46505,25.79814,30.123,28.40584
172,3,-1584.0382,-1500.487,-1692.7971,-1374.9242
173,3,-173.71597,-153.4256,-169.6949,-122.627335
174,3,2.5288239,15.022039,21.747692,34.11957
175,0,24.908161,35.9685,45.47673,53.200325
176,3,-428.82797,-403.90616,-455.2544,-365.22736
177,0,80.76084,89.333046,107.76061,107.830696
178,0,38.55621,46.040363,54.92355,53.656914
179,0,83.57934,92.32644,111.349434,111.55167
180,0,69.72579,77.780045,93.78557,93.3592
181,0,81.817764,90.40624,109.06555,109.16512
182,0,69.752304,79.12664,95.988945,98.33642
183,3,-289.93445,-273.66907,-308.60446,-247.45029
184,0,81.95493,90.58846,109.26257,109.39125
185,0,66.92762,77.49973,94.2498,97.43574
186,3,-502.55713,-463.5209,-518.6888,-404.57245
187,0,68.459305,76.5348,92.22899,91.79456
188,3,-716.4765,-677.7883,-764.04663,-617.4472
189,3,-301.2034,-279.87387,-314.67618,-248.08778
190,0,66.993996,77.871895,94.62686,98.03491
191,0,83.257164,92.00271,110.962204,111.14965
192,0,63.302986,74.28206,90.35817,94.28895
193,0,54.57275,62.3765,74.879364,74.077835
194,0,66.104324,74.035225,89.23457,88.66833
195,3,-2290.7568,-2199.0344,-2481.7036,-2049.3347
196,3,-22.539518,-8.536303,-4.569614,13.801778
197,3,-181.33661,-162.02802,-178.99907,-130.99728
198,3,-96.87369,-82.28778,-89.95759,-62.037857
199,0,83.79972,92.57098,111.66012,111.870415
